iter	Averagereward	Stdreward	Maxreward	Minreward	Averagestep	Stdstep	Maxstep	Minstep
1	10.578947	2.7205997	18.0	8.0	10.578947	2.7205997	18.0	8.0
2	9.454545	0.5821022	10.0	8.0	9.454545	0.5821022	10.0	8.0
3	9.666667	1.356934	14.0	8.0	9.666667	1.356934	14.0	8.0
4	10.1	1.6999999	14.0	8.0	10.1	1.6999999	14.0	8.0
5	11.666667	2.728451	20.0	9.0	11.666667	2.728451	20.0	9.0
6	14.428572	3.5196242	21.0	9.0	14.428572	3.5196242	21.0	9.0
7	43.8	30.986448	94.0	10.0	43.8	30.986448	94.0	10.0
8	23.0	10.34945	43.0	9.0	23.0	10.34945	43.0	9.0
9	25.5	9.110434	39.0	11.0	25.5	9.110434	39.0	11.0
10	20.9	8.490583	36.0	11.0	20.9	8.490583	36.0	11.0
11	23.777779	14.950123	59.0	9.0	23.777779	14.950123	59.0	9.0
12	19.636364	10.377185	46.0	9.0	19.636364	10.377185	46.0	9.0
13	20.6	11.262327	44.0	10.0	20.6	11.262327	44.0	10.0
14	25.25	15.204851	61.0	12.0	25.25	15.204851	61.0	12.0
15	20.9	6.0074954	31.0	11.0	20.9	6.0074954	31.0	11.0
16	28.0	18.96781	59.0	9.0	28.0	18.96781	59.0	9.0
17	55.5	36.017357	108.0	10.0	55.5	36.017357	108.0	10.0
18	43.6	18.884914	67.0	23.0	43.6	18.884914	67.0	23.0
19	64.25	34.766182	123.0	37.0	64.25	34.766182	123.0	37.0
20	88.333336	28.581268	123.0	53.0	88.333336	28.581268	123.0	53.0
21	67.333336	25.629843	92.0	32.0	67.333336	25.629843	92.0	32.0
22	34.833332	24.217188	69.0	9.0	34.833332	24.217188	69.0	9.0
23	80.25	56.299976	173.0	30.0	80.25	56.299976	173.0	30.0
24	70.0	12.675436	85.0	54.0	70.0	12.675436	85.0	54.0
25	157.5	13.5	171.0	144.0	157.5	13.5	171.0	144.0
26	85.333336	64.61338	167.0	9.0	85.333336	64.61338	167.0	9.0
27	118.5	30.5	149.0	88.0	118.5	30.5	149.0	88.0
28	110.5	25.5	136.0	85.0	110.5	25.5	136.0	85.0
29	158.0	38.0	196.0	120.0	158.0	38.0	196.0	120.0
30	114.5	8.5	123.0	106.0	114.5	8.5	123.0	106.0
31	62.25	48.272015	135.0	12.0	62.25	48.272015	135.0	12.0
32	176.0	6.0	182.0	170.0	176.0	6.0	182.0	170.0
33	135.0	20.0	155.0	115.0	135.0	20.0	155.0	115.0
34	134.0	4.0	138.0	130.0	134.0	4.0	138.0	130.0
35	124.5	1.5	126.0	123.0	124.5	1.5	126.0	123.0
36	116.0	18.0	134.0	98.0	116.0	18.0	134.0	98.0
37	83.666664	6.5996633	91.0	75.0	83.666664	6.5996633	91.0	75.0
38	159.5	40.5	200.0	119.0	159.5	40.5	200.0	119.0
39	138.0	5.0	143.0	133.0	138.0	5.0	143.0	133.0
40	137.5	7.5	145.0	130.0	137.5	7.5	145.0	130.0
41	155.5	11.5	167.0	144.0	155.5	11.5	167.0	144.0
42	130.0	7.0	137.0	123.0	130.0	7.0	137.0	123.0
43	159.5	23.5	183.0	136.0	159.5	23.5	183.0	136.0
44	167.0	33.0	200.0	134.0	167.0	33.0	200.0	134.0
45	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0
46	173.5	26.5	200.0	147.0	173.5	26.5	200.0	147.0
47	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0
48	196.0	4.0	200.0	192.0	196.0	4.0	200.0	192.0
49	151.5	13.5	165.0	138.0	151.5	13.5	165.0	138.0
50	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0
51	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0
52	146.0	30.0	176.0	116.0	146.0	30.0	176.0	116.0
53	179.5	20.5	200.0	159.0	179.5	20.5	200.0	159.0
54	199.5	0.5	200.0	199.0	199.5	0.5	200.0	199.0
55	188.5	6.5	195.0	182.0	188.5	6.5	195.0	182.0
56	184.5	1.5	186.0	183.0	184.5	1.5	186.0	183.0
57	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0
58	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0
59	181.0	19.0	200.0	162.0	181.0	19.0	200.0	162.0
60	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0
61	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0
62	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0
63	194.0	6.0	200.0	188.0	194.0	6.0	200.0	188.0
64	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0
65	154.5	30.5	185.0	124.0	154.5	30.5	185.0	124.0
66	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0
67	177.5	2.5	180.0	175.0	177.5	2.5	180.0	175.0
68	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0
